Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Magnetic Field,Acceleration,Orientation,Image file,Image type,sunlight
31,2022-04-24 17:16:22.883294,-35.038978778604566,96.10524239373626,27.5616,50.7616,1009.2632,"-5.396401882171631,-17.411943435668945,-39.26385498046875","0.014883999712765217,-0.004635999910533428,-0.006587999872863293","279.4015138314234,233.76753100532918,155.3132971219424",/home/pi/msl/weeagles/photo_031.jpg,night,No
32,2022-04-24 17:17:13.647381,-32.86995423960123,98.81909510378681,27.6454,50.7187,1009.2825,"-3.4383914470672607,-17.428861618041992,-38.54556655883789","0.016835998743772507,-0.005367999896407127,-0.007075999863445759","279.04874139098143,221.99478472546343,166.42380192026206",/home/pi/msl/weeagles/photo_032.jpg,night,No
33,2022-04-24 17:18:04.093023,-30.619370807841356,101.40965966743644,27.469,50.9057,1009.27,"-1.5318305492401123,-17.540454864501953,-38.3182373046875","0.016835998743772507,-0.006587999872863293,-0.007319999858736992","278.78981574973545,205.71381306506578,181.1402267710856",/home/pi/msl/weeagles/photo_033.jpg,night,No
34,2022-04-24 17:18:54.612437,-28.323082438122302,103.85915771419701,27.5521,50.8229,1009.2764,"0.5968747735023499,-17.359394073486328,-38.52938461303711","0.01659199967980385,-0.0058559998869895935,-0.006099999882280827","279.3671443195199,192.86390497195399,185.9941553462685",/home/pi/msl/weeagles/photo_034.jpg,night,No
35,2022-04-24 17:19:45.040736,-25.978329787573717,106.19393779763318,27.6915,50.7923,1009.2773,"2.8076415061950684,-17.20372772216797,-38.11967849731445","0.01512799970805645,-0.0058559998869895935,-0.008539999835193157","278.0543751308543,195.76569718045556,187.1862146017325",/home/pi/msl/weeagles/photo_035.jpg,night,No
36,2022-04-24 17:20:35.529905,-23.589185206348446,108.42964728226255,27.5769,50.826,1009.2827,"4.693041801452637,-17.361684799194336,-37.158790588378906","0.015859998762607574,-0.004147999919950962,-0.008539999835193157","284.10695409405025,194.95961191498898,189.45303144385468",/home/pi/msl/weeagles/photo_036.jpg,night,No
37,2022-04-24 17:21:26.336349,-21.160295614808156,110.57952693407528,27.3905,50.7065,1009.2715,"6.567192077636719,-17.442916870117188,-36.347694396972656","0.01781199872493744,-0.006587999872863293,-0.006831999868154526","282.8759490999389,206.6038413554318,178.87291451287751",/home/pi/msl/weeagles/photo_037.jpg,night,No
38,2022-04-24 17:22:16.806223,-18.681415318972793,112.66769328433453,27.1302,50.7463,1009.2629,"8.517998695373535,-17.271818161010742,-35.21414566040039","0.01756799966096878,-0.006587999872863293,-0.007563999854028225","282.907449932391,221.88007852854224,165.22138809801635",/home/pi/msl/weeagles/photo_038.jpg,night,No
39,2022-04-24 17:23:07.903499,-16.174002358624595,114.69014487360322,27.4773,50.7708,1009.2991,"10.397514343261719,-17.26581573486328,-33.28218460083008","0.01659199967980385,-0.0058559998869895935,-0.00878399983048439","286.7895040603836,205.97927519734748,180.1411613408095",/home/pi/msl/weeagles/photo_039.jpg,night,No
40,2022-04-24 17:23:58.321956,-13.64934599307635,116.65208362608551,27.257,50.6942,1009.2793,"12.038756370544434,-17.23532485961914,-31.15965461730957","0.016835998743772507,-0.005367999896407127,-0.007075999863445759","285.7811495728363,218.0834359161206,168.76181665429246",/home/pi/msl/weeagles/photo_040.jpg,night,No
41,2022-04-24 17:24:49.080093,-11.118770259174596,118.55844056331888,27.6665,50.8199,1009.3108,"13.508556365966797,-17.40840721130371,-29.32451820373535","0.01512799970805645,-0.004391999915242195,-0.006099999882280827","284.2508935006191,221.13325198431468,165.95527826395588",/home/pi/msl/weeagles/photo_041.jpg,night,No
42,2022-04-24 17:25:39.874579,-8.536061726837762,120.45555723111458,27.4873,50.4888,1009.311,"15.02141284942627,-17.403919219970703,-26.9744930267334","0.016103999689221382,-0.0058559998869895935,-0.007563999854028225","287.59576008057945,215.00457788357562,166.05837313928805",/home/pi/msl/weeagles/photo_042.jpg,night,No
43,2022-04-24 17:26:30.661755,-5.958434993810224,122.3125518542565,27.388,50.7586,1009.335,"16.242229461669922,-17.373151779174805,-24.586515426635742","0.015371999703347683,-0.003903999924659729,-0.007807999849319458","285.89298709030606,209.89081525198708,176.4985495120843",/home/pi/msl/weeagles/photo_043.jpg,night,No
44,2022-04-24 17:27:21.188387,-3.391320128457708,124.13733691524716,27.6758,50.7647,1009.3516,"17.469287872314453,-17.37184715270996,-22.061952590942383","0.01659199967980385,-0.007319999858736992,-0.00634399987757206","286.52031947500427,212.68042843356037,171.9805296402826",/home/pi/msl/weeagles/photo_044.jpg,night,No
45,2022-04-24 17:28:12.268855,-0.8006453597423445,125.96494664107705,27.2968,50.9057,1009.354,"18.144634246826172,-17.172252655029297,-19.39190101623535","0.014883999712765217,-0.004879999905824661,-0.008539999835193157","286.15574446767647,215.8652090397539,172.5762450793128",/home/pi/msl/weeagles/photo_045.jpg,night,No
46,2022-04-24 17:29:02.730068,1.7933953267259601,127.79166395154903,27.4502,50.8199,1009.3176,"18.816608428955078,-16.94621467590332,-16.329715728759766","0.01512799970805645,-0.003659999929368496,-0.007807999849319458","286.3931755036044,214.1830154094498,173.8318524148146",/home/pi/msl/weeagles/photo_046.jpg,night,No
47,2022-04-24 17:29:53.128202,4.362559203881082,129.60816215322552,27.2214,50.8383,1009.2861,"19.3210506439209,-16.77556800842285,-12.970746040344238","0.01781199872493744,-0.007563999854028225,-0.008295999839901924","293.05250749152935,207.98550666225532,178.2938783958005",/home/pi/msl/weeagles/photo_047.jpg,night,No
48,2022-04-24 17:30:43.599515,6.928715224771846,131.44038271767263,27.351,50.872,1009.262,"19.65869140625,-16.738487243652344,-10.066695213317871","0.015371999703347683,-0.004147999919950962,-0.006831999868154526","290.8071169528335,206.60720180850345,178.8019215266444",/home/pi/msl/weeagles/photo_048.jpg,night,No
